ASSUMPTIONS & PARAMETERS — WeCare Retirement Model,,,,
Yellow cells = user inputs (edit these)  |  Blue cells = auto-calculated  |  Sensitivity range shown for stress-testing,,,,
Parameter,Base Case Value,Rationale & Source,Sensitivity Range,Notes
"A. MEMBER PROFILE  (Baseline: Rahul, 28, ?20L CTC — case study specification)",,,,
Current Age (years),28,Case study baseline per competition specification. Mid-point of the 23–35 target cohort.,23 – 45,Drives accumulation period = Retirement Age ? Current Age
Normal Retirement Age (years),60,WeCare plan defined retirement age per case specification; standard in Indian corporate DB plans.,58 – 65,Change to 58 or 65 to test early/late retirement impact
Starting Annual CTC (?),"2,000,000","Competition-specified baseline: ?20,00,000 p.a. — mid-level hire in a large domestic corporate.",?12L – ?60L,All contribution values derive from this via Basic/CTC ratio
Basic Salary as % of CTC,40%,Industry norm for large Indian corporates: basic = 40–50% of CTC. EPF & WeCare contributions sit on basic.,35% – 50%,Lower basic % ? lower EPF/WeCare contributions but higher take-home — key structural lever
Current Monthly Expenses as % of Net Salary,50%,Case specification: 50% of net salary on current expenses — urban lifestyle spend.,40% – 70%,"Determines disposable income available for voluntary savings (ELSS SIP, extra NPS)"
B. SALARY GROWTH & INFLATION,,,,
Annual Salary Growth Rate,8.0%,,4% – 9%,Higher growth ? larger final salary ? harder to hit replacement ratio from fixed-rate vehicles. Note: a flat 8%/yr for 32 straight years is not realistic — salary growth tapers with seniority.
Inflation Rate (CPI),6.0%,RBI medium-term inflation target band: 4% ± 2%. Set at 6% to capture food & urban cost pressure.,4% – 8%,Used to express retirement values in today's purchasing power
Post-Retirement Inflation,5.0%,"Slightly lower than pre-retirement (lower transport/childcare, higher medical). Net 5% assumed.",4% – 7%,Affects real value of fixed DB pension over the retirement horizon
C. EPF — EMPLOYEES' PROVIDENT FUND,,,,
EPF Employee Contribution Rate,12%,"Statutory: Section 6, EPF & MP Act 1952 — 12% of basic salary mandatory.",Fixed at 12%,Cannot be reduced below 12%; can voluntarily add more via VPF
EPF Employer Contribution Rate,12%,"Statutory 12% employer share. 8.33% routes to EPS, 3.67% to EPF; full 12% modelled in EPF since EPS pension is small.",Fixed at 12%,"EPS provides a small separate pension, not modelled here for simplicity"
EPF Interest Rate,8.15%,"EPFO declared rate FY 2024-25: 8.15% p.a., sovereign guaranteed. Ranged 8.1%-8.65% over the last decade.",7.5% – 8.65%,"EEE regime: no tax on contribution, growth, or withdrawal after 5 years"
Voluntary Provident Fund (VPF) Additional %,0%,Set to 0% in base case. Employee can voluntarily contribute up to 100% of basic at EPF rate.,0% – 20%,VPF earns the same 8.15% rate — useful lever for risk-averse savers
D. NPS — NATIONAL PENSION SYSTEM (Tier I),,,,
NPS Employee Voluntary Contribution (% of basic),5%,Competition default: 5% voluntary. PFRDA allows 0–unlimited; 5% is realistic for early adopters.,0% – 10%,"Tax deductible under Section 80CCD(1B): additional ?50,000 deduction over the 80C limit"
NPS Employer Contribution (% of basic),10%,10% employer NPS contribution is tax-deductible for the employer under Section 80CCD(2).,0% – 14%,Most favourable NPS tax treatment — full deduction on employer contribution received by employee
NPS Equity Allocation (% of NPS corpus),75%,Active Choice: max 75% equity allowed up to age 50; Lifecycle Fund auto-reduces post-50.,50% – 75%,Returns weighted: equity_alloc × equity_return + (1?equity_alloc) × debt_return
NPS Equity Fund Expected Return,12.0%,Long-run Nifty 50 CAGR ? 12–13% (1996–2024). NPS C-scheme historically delivered 10-12%.,9% – 15%,Feeds the blended NPS return calculated below
NPS Debt Fund Expected Return,7.0%,NPS G-scheme (govt securities): 7–8% p.a. historically. 7% assumed conservatively.,6% – 9%,Feeds the blended NPS return calculated below
